id,item_id,dept_id,cat_id,store_id,state_id,d_1928,d_1929,d_1930,d_1931,d_1932,d_1933,d_1934,d_1935,d_1936,d_1937,d_1938,d_1939,d_1940,d_1941
HOUSEHOLD_1_480_CA_4_evaluation,HOUSEHOLD_1_480,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_481_CA_4_evaluation,HOUSEHOLD_1_481,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HOUSEHOLD_1_482_CA_4_evaluation,HOUSEHOLD_1_482,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HOUSEHOLD_1_483_CA_4_evaluation,HOUSEHOLD_1_483,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_484_CA_4_evaluation,HOUSEHOLD_1_484,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_485_CA_4_evaluation,HOUSEHOLD_1_485,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_486_CA_4_evaluation,HOUSEHOLD_1_486,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOUSEHOLD_1_487_CA_4_evaluation,HOUSEHOLD_1_487,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,0,1,0,0,1,1,1,0,0,0,1,1,1
HOUSEHOLD_1_488_CA_4_evaluation,HOUSEHOLD_1_488,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,0,0,1,0,1,1,1,0,0,1,0,1,1
HOUSEHOLD_1_489_CA_4_evaluation,HOUSEHOLD_1_489,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HOUSEHOLD_1_490_CA_4_evaluation,HOUSEHOLD_1_490,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_491_CA_4_evaluation,HOUSEHOLD_1_491,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,1,0,0,0,0,0,1,1,0
HOUSEHOLD_1_492_CA_4_evaluation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,1,0,0,1,0,0,0,1
HOUSEHOLD_1_493_CA_4_evaluation,HOUSEHOLD_1_493,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_494_CA_4_evaluation,HOUSEHOLD_1_494,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,2,1,1,2,2,2,1,2,1,2,1,2,2
HOUSEHOLD_1_495_CA_4_evaluation,HOUSEHOLD_1_495,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOUSEHOLD_1_496_CA_4_evaluation,HOUSEHOLD_1_496,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,1,0,0,1,0,1,1,0,1,0,0,0
HOUSEHOLD_1_497_CA_4_evaluation,HOUSEHOLD_1_497,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,1,1,1,1,1,1,1,1,1,1,1,1,1
HOUSEHOLD_1_498_CA_4_evaluation,HOUSEHOLD_1_498,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,1,1,1,1,1,1,1,1,1,1,1,1,1
HOUSEHOLD_1_499_CA_4_evaluation,HOUSEHOLD_1_499,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,1,0,1,0,0,1,0,1
HOUSEHOLD_1_500_CA_4_evaluation,HOUSEHOLD_1_500,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_501_CA_4_evaluation,HOUSEHOLD_1_501,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_502_CA_4_evaluation,HOUSEHOLD_1_502,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_503_CA_4_evaluation,HOUSEHOLD_1_503,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,1,1,0,0,0
HOUSEHOLD_1_504_CA_4_evaluation,HOUSEHOLD_1_504,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOUSEHOLD_1_505_CA_4_evaluation,HOUSEHOLD_1_505,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,2,1,1,1,1,2,1,1,1,1,1,1,1,2
HOUSEHOLD_1_506_CA_4_evaluation,HOUSEHOLD_1_506,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,1,1,1,1,1,1,1,1,1,1,1,1,1
HOUSEHOLD_1_507_CA_4_evaluation,HOUSEHOLD_1_507,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,2,0,1,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_508_CA_4_evaluation,HOUSEHOLD_1_508,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,1,1,0,0,0,1,0,0,1,1
HOUSEHOLD_1_509_CA_4_evaluation,HOUSEHOLD_1_509,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_510_CA_4_evaluation,HOUSEHOLD_1_510,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,2,1,1,2,1,1,1,2,1,1,1,1,1,2
HOUSEHOLD_1_511_CA_4_evaluation,HOUSEHOLD_1_511,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_512_CA_4_evaluation,HOUSEHOLD_1_512,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_513_CA_4_evaluation,HOUSEHOLD_1_513,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,1,1,0,1,1,1,0,0,1,0,0,0,1
HOUSEHOLD_1_514_CA_4_evaluation,HOUSEHOLD_1_514,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,2,2,2,2,2,2,2,2,2,2,2,2,3,3
HOUSEHOLD_1_515_CA_4_evaluation,HOUSEHOLD_1_515,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,1,0,0,0,1,0,0,0,1,1,1,1
HOUSEHOLD_1_516_CA_4_evaluation,HOUSEHOLD_1_516,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HOUSEHOLD_1_517_CA_4_evaluation,HOUSEHOLD_1_517,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,3,4,4,4,4,5,5,4,4,4,4,4,4,5
HOUSEHOLD_1_518_CA_4_evaluation,HOUSEHOLD_1_518,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,1,0,0,1,0,1,0,0,0,0,0,0
HOUSEHOLD_1_519_CA_4_evaluation,HOUSEHOLD_1_519,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_520_CA_4_evaluation,HOUSEHOLD_1_520,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,1,1,1,1,2,1,1,1,1,1,1,2,2
HOUSEHOLD_1_521_CA_4_evaluation,HOUSEHOLD_1_521,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,1,1,1,2,1,1,1,1,1,1,1,2,2
HOUSEHOLD_1_522_CA_4_evaluation,HOUSEHOLD_1_522,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,0,1,0,1,1,1,1,0,1,1,0,1,1
HOUSEHOLD_1_523_CA_4_evaluation,HOUSEHOLD_1_523,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_524_CA_4_evaluation,HOUSEHOLD_1_524,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,3,2,2,1,1,2,2,2,2,2,1,1,2,1
HOUSEHOLD_1_525_CA_4_evaluation,HOUSEHOLD_1_525,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_526_CA_4_evaluation,HOUSEHOLD_1_526,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_527_CA_4_evaluation,HOUSEHOLD_1_527,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,3,1,1,1,1,1,1,1,1,1,1,1,1,1
HOUSEHOLD_1_528_CA_4_evaluation,HOUSEHOLD_1_528,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOUSEHOLD_1_529_CA_4_evaluation,HOUSEHOLD_1_529,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,1,0,1,1,1,1,0,0,0,0,0,1,0
HOUSEHOLD_1_530_CA_4_evaluation,HOUSEHOLD_1_530,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,1,1,1,1,2,1,1,1,1,1,2,1,1
HOUSEHOLD_1_531_CA_4_evaluation,HOUSEHOLD_1_531,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_532_CA_4_evaluation,HOUSEHOLD_1_532,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,1,0,1,1,1,0,1,1,1,1,1,1,1
HOUSEHOLD_1_533_CA_4_evaluation,HOUSEHOLD_1_533,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,0,0,1,1,1,1,1,1,0,1,0,1,1
HOUSEHOLD_1_534_CA_4_evaluation,HOUSEHOLD_1_534,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,1,1,1,2,1,2,2,1,1,1,2,2,2
HOUSEHOLD_1_535_CA_4_evaluation,HOUSEHOLD_1_535,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,3,2,2,2,2,3,2,2,2,2,2,2,2,2
HOUSEHOLD_1_536_CA_4_evaluation,HOUSEHOLD_1_536,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,2,2,1,1,2,2,2,2,1,1,1,2,2,1
HOUSEHOLD_1_537_CA_4_evaluation,HOUSEHOLD_1_537,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_538_CA_4_evaluation,HOUSEHOLD_1_538,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HOUSEHOLD_1_539_CA_4_evaluation,HOUSEHOLD_1_539,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,2,2,2,3,2,2,2,2,2,2,3,2,2
HOUSEHOLD_1_540_CA_4_evaluation,HOUSEHOLD_1_540,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,2,2,2,2,2,2,2,2,2,2,2,2,2
HOUSEHOLD_1_541_CA_4_evaluation,HOUSEHOLD_1_541,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,1,1,1,1,1,1,1,1,0,0,1,1,1
HOUSEHOLD_2_001_CA_4_evaluation,HOUSEHOLD_2_001,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_002_CA_4_evaluation,HOUSEHOLD_2_002,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_003_CA_4_evaluation,HOUSEHOLD_2_003,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_004_CA_4_evaluation,HOUSEHOLD_2_004,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_005_CA_4_evaluation,HOUSEHOLD_2_005,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_006_CA_4_evaluation,HOUSEHOLD_2_006,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_007_CA_4_evaluation,HOUSEHOLD_2_007,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_008_CA_4_evaluation,HOUSEHOLD_2_008,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_009_CA_4_evaluation,HOUSEHOLD_2_009,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_010_CA_4_evaluation,HOUSEHOLD_2_010,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_011_CA_4_evaluation,HOUSEHOLD_2_011,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HOUSEHOLD_2_012_CA_4_evaluation,HOUSEHOLD_2_012,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOUSEHOLD_2_013_CA_4_evaluation,HOUSEHOLD_2_013,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_014_CA_4_evaluation,HOUSEHOLD_2_014,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_015_CA_4_evaluation,HOUSEHOLD_2_015,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_016_CA_4_evaluation,HOUSEHOLD_2_016,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_017_CA_4_evaluation,HOUSEHOLD_2_017,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_018_CA_4_evaluation,HOUSEHOLD_2_018,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_019_CA_4_evaluation,HOUSEHOLD_2_019,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_020_CA_4_evaluation,HOUSEHOLD_2_020,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,1,0,1,1,0
HOUSEHOLD_2_021_CA_4_evaluation,HOUSEHOLD_2_021,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_022_CA_4_evaluation,HOUSEHOLD_2_022,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,1,0,1,0,0,1,1,1,0,0,0,0,0
HOUSEHOLD_2_023_CA_4_evaluation,HOUSEHOLD_2_023,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_024_CA_4_evaluation,HOUSEHOLD_2_024,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_025_CA_4_evaluation,HOUSEHOLD_2_025,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_026_CA_4_evaluation,HOUSEHOLD_2_026,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_027_CA_4_evaluation,HOUSEHOLD_2_027,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_028_CA_4_evaluation,HOUSEHOLD_2_028,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_029_CA_4_evaluation,HOUSEHOLD_2_029,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_030_CA_4_evaluation,HOUSEHOLD_2_030,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_031_CA_4_evaluation,HOUSEHOLD_2_031,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_032_CA_4_evaluation,HOUSEHOLD_2_032,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_033_CA_4_evaluation,HOUSEHOLD_2_033,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_034_CA_4_evaluation,HOUSEHOLD_2_034,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_035_CA_4_evaluation,HOUSEHOLD_2_035,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_036_CA_4_evaluation,HOUSEHOLD_2_036,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,2,1,1,1,0,1,1,1,1,1,1,0,1,1
HOUSEHOLD_2_037_CA_4_evaluation,HOUSEHOLD_2_037,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,1,0,0,0,1,0,0,1,0,0,1,1
HOUSEHOLD_2_038_CA_4_evaluation,HOUSEHOLD_2_038,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_039_CA_4_evaluation,HOUSEHOLD_2_039,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_040_CA_4_evaluation,HOUSEHOLD_2_040,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_041_CA_4_evaluation,HOUSEHOLD_2_041,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_042_CA_4_evaluation,HOUSEHOLD_2_042,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_043_CA_4_evaluation,HOUSEHOLD_2_043,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_044_CA_4_evaluation,HOUSEHOLD_2_044,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,1,3,2,2,3,3,3,3,4,2,2,2,2,3
HOUSEHOLD_2_045_CA_4_evaluation,HOUSEHOLD_2_045,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_046_CA_4_evaluation,HOUSEHOLD_2_046,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_047_CA_4_evaluation,HOUSEHOLD_2_047,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_048_CA_4_evaluation,HOUSEHOLD_2_048,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_049_CA_4_evaluation,HOUSEHOLD_2_049,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_050_CA_4_evaluation,HOUSEHOLD_2_050,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_051_CA_4_evaluation,HOUSEHOLD_2_051,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_052_CA_4_evaluation,HOUSEHOLD_2_052,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_053_CA_4_evaluation,HOUSEHOLD_2_053,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_054_CA_4_evaluation,HOUSEHOLD_2_054,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_055_CA_4_evaluation,HOUSEHOLD_2_055,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_056_CA_4_evaluation,HOUSEHOLD_2_056,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_057_CA_4_evaluation,HOUSEHOLD_2_057,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_058_CA_4_evaluation,HOUSEHOLD_2_058,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_059_CA_4_evaluation,HOUSEHOLD_2_059,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,1,0,0,0,0,0,1,1,0,0,0,0,1,1
HOUSEHOLD_2_060_CA_4_evaluation,HOUSEHOLD_2_060,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_061_CA_4_evaluation,HOUSEHOLD_2_061,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_062_CA_4_evaluation,HOUSEHOLD_2_062,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,1,1,0,0,0,0,0,1
HOUSEHOLD_2_063_CA_4_evaluation,HOUSEHOLD_2_063,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
